update_time,value_time,status,value
2016-03-21 19:02:54.499,2016-03-21 19:02:45.838,nominal,24.0450000763
2016-03-21 19:03:04.498,2016-03-21 19:02:55.839,nominal,23.3299999237
2016-03-21 19:03:14.498,2016-03-21 19:03:05.839,nominal,23.7299995422
2016-03-21 19:03:24.498,2016-03-21 19:03:15.838,nominal,23.6299991608
2016-03-21 19:03:34.499,2016-03-21 19:03:25.838,nominal,23.3250007629
2016-03-21 19:03:44.498,2016-03-21 19:03:35.838,nominal,23.7350006104
2016-03-21 19:03:54.498,2016-03-21 19:03:45.838,nominal,24.0200004578
2016-03-21 19:04:04.498,2016-03-21 19:03:55.839,nominal,23.3349990845
2016-03-21 19:04:14.498,2016-03-21 19:04:05.838,nominal,23.9699993134
2016-03-21 19:04:24.499,2016-03-21 19:04:15.838,nominal,24.0149993896
2016-03-21 19:04:34.498,2016-03-21 19:04:25.838,nominal,23.7350006104
2016-03-21 19:04:44.499,2016-03-21 19:04:35.838,nominal,23.9099998474
2016-03-21 19:04:54.498,2016-03-21 19:04:45.838,nominal,24.0300006866
2016-03-21 19:05:04.498,2016-03-21 19:04:55.838,nominal,23.7150001526
2016-03-21 19:05:14.498,2016-03-21 19:05:05.838,nominal,23.3150005341
2016-03-21 19:05:24.498,2016-03-21 19:05:15.838,nominal,23.3299999237
2016-03-21 19:05:34.498,2016-03-21 19:05:25.838,nominal,23.3050003052
2016-03-21 19:05:44.504,2016-03-21 19:05:35.838,nominal,22.7350006104
2016-03-21 19:05:54.498,2016-03-21 19:05:45.838,nominal,23.9249992371
2016-03-21 19:06:04.498,2016-03-21 19:05:55.838,nominal,23.2399997711
2016-03-21 19:06:14.500,2016-03-21 19:06:05.838,nominal,23.7049999237
2016-03-21 19:06:24.498,2016-03-21 19:06:15.838,nominal,23.3500003815
2016-03-21 19:06:34.498,2016-03-21 19:06:25.838,nominal,23.2700004578
2016-03-21 19:06:44.498,2016-03-21 19:06:35.839,nominal,23.6749992371
2016-03-21 19:06:54.498,2016-03-21 19:06:45.839,nominal,23.3250007629
2016-03-21 19:07:04.499,2016-03-21 19:06:55.848,nominal,23.2299995422
2016-03-21 19:07:14.498,2016-03-21 19:07:05.838,nominal,23.1650009155
2016-03-21 19:07:24.498,2016-03-21 19:07:15.838,nominal,22.6599998474
2016-03-21 19:07:34.498,2016-03-21 19:07:25.838,nominal,23.2849998474
2016-03-21 19:07:44.498,2016-03-21 19:07:35.838,nominal,23.2049999237
2016-03-21 19:07:54.498,2016-03-21 19:07:45.838,nominal,23.9799995422
2016-03-21 19:08:04.498,2016-03-21 19:07:55.838,nominal,23.2849998474
2016-03-21 19:08:14.498,2016-03-21 19:08:05.839,nominal,23.2749996185
2016-03-21 19:08:24.498,2016-03-21 19:08:15.838,nominal,23.7099990845
2016-03-21 19:08:34.498,2016-03-21 19:08:25.838,nominal,23.2549991608
2016-03-21 19:08:44.498,2016-03-21 19:08:35.840,nominal,23.2849998474
2016-03-21 19:08:54.498,2016-03-21 19:08:45.838,nominal,23.9349994659
2016-03-21 19:09:04.498,2016-03-21 19:08:55.839,nominal,24.0100002289
2016-03-21 19:09:14.498,2016-03-21 19:09:05.838,nominal,23.2900009155
2016-03-21 19:09:24.498,2016-03-21 19:09:15.838,nominal,23.3400001526
2016-03-21 19:09:34.498,2016-03-21 19:09:25.841,nominal,23.9850006104
2016-03-21 19:09:44.499,2016-03-21 19:09:35.838,nominal,23.2849998474
2016-03-21 19:09:54.498,2016-03-21 19:09:45.839,nominal,23.3449993134
2016-03-21 19:10:04.498,2016-03-21 19:09:55.838,nominal,23.9599990845
2016-03-21 19:10:14.498,2016-03-21 19:10:05.842,nominal,23.9699993134
2016-03-21 19:10:24.498,2016-03-21 19:10:15.838,nominal,23.4549999237
2016-03-21 19:10:34.498,2016-03-21 19:10:25.838,nominal,23.9549999237
2016-03-21 19:10:44.498,2016-03-21 19:10:35.838,nominal,23.2150001526
2016-03-21 19:10:54.498,2016-03-21 19:10:45.838,nominal,23.7250003815
2016-03-21 19:11:04.498,2016-03-21 19:10:55.838,nominal,23.9899997711
2016-03-21 19:11:14.498,2016-03-21 19:11:05.839,nominal,23.3250007629
2016-03-21 19:11:24.499,2016-03-21 19:11:15.839,nominal,23.6599998474
2016-03-21 19:11:34.498,2016-03-21 19:11:25.838,nominal,22.9799995422
2016-03-21 19:11:44.498,2016-03-21 19:11:35.838,nominal,23.3349990845
2016-03-21 19:11:54.498,2016-03-21 19:11:45.838,nominal,23.2250003815
2016-03-21 19:12:04.498,2016-03-21 19:11:55.838,nominal,22.7399997711
2016-03-21 19:12:14.498,2016-03-21 19:12:05.838,nominal,23.9699993134
2016-03-21 19:12:24.498,2016-03-21 19:12:15.838,nominal,23.3250007629
2016-03-21 19:12:34.498,2016-03-21 19:12:25.839,nominal,23.7150001526
2016-03-21 19:12:44.499,2016-03-21 19:12:35.838,nominal,23.9699993134
2016-03-21 19:12:54.498,2016-03-21 19:12:45.838,nominal,23.3050003052
2016-03-21 19:13:04.498,2016-03-21 19:12:55.838,nominal,23.5550003052
2016-03-21 19:13:14.498,2016-03-21 19:13:05.839,nominal,22.9099998474
2016-03-21 19:13:24.498,2016-03-21 19:13:15.838,nominal,23.2849998474
2016-03-21 19:13:34.498,2016-03-21 19:13:25.838,nominal,23.1849994659
2016-03-21 19:13:44.498,2016-03-21 19:13:35.838,nominal,22.6399993896
2016-03-21 19:13:54.498,2016-03-21 19:13:45.839,nominal,23.2600002289
2016-03-21 19:14:04.498,2016-03-21 19:13:55.838,nominal,23.1700000763
2016-03-21 19:14:14.498,2016-03-21 19:14:05.839,nominal,23.6599998474
2016-03-21 19:14:24.498,2016-03-21 19:14:15.838,nominal,22.8700008392
2016-03-21 19:14:34.498,2016-03-21 19:14:25.838,nominal,23.2749996185
2016-03-21 19:14:44.498,2016-03-21 19:14:35.840,nominal,23.6949996948
2016-03-21 19:14:54.498,2016-03-21 19:14:45.838,nominal,23.7399997711
2016-03-21 19:15:04.498,2016-03-21 19:14:55.838,nominal,23.2800006866
2016-03-21 19:15:14.498,2016-03-21 19:15:05.838,nominal,23.4349994659
2016-03-21 19:15:24.498,2016-03-21 19:15:15.838,nominal,23.9050006866
2016-03-21 19:15:34.498,2016-03-21 19:15:25.838,nominal,23.2749996185
2016-03-21 19:15:44.498,2016-03-21 19:15:35.838,nominal,23.1800003052
2016-03-21 19:15:54.498,2016-03-21 19:15:45.838,nominal,22.6149997711
2016-03-21 19:16:04.498,2016-03-21 19:15:55.839,nominal,23.2849998474
2016-03-21 19:16:14.498,2016-03-21 19:16:05.838,nominal,23.1650009155
2016-03-21 19:16:24.498,2016-03-21 19:16:15.839,nominal,23.6700000763
2016-03-21 19:16:34.498,2016-03-21 19:16:25.838,nominal,22.6849994659
2016-03-21 19:16:44.498,2016-03-21 19:16:35.838,nominal,23.2199993134
